4 7 52,34501 135 136,5074
4 8 290,6166 118,3008 119,4759
4 9 343,5258 176,6335 176,8293
4 10 115,9741 149,0362 150,5615
4 11 246,3372 -165,6821 -168,3263
4 12 63,51378 147,6526 145,0806
4 13 278,5681 157,9974 158,9695
4 14 259,0482 157,4994 158,3621
5 0 64,2028 -146,3099 -142,5946
5 1 252,6075 93,54148 37,30634
5 2 186,5529 114,201 114,7964
5 3 305,2867 58,3925 58,3925
5 4 260,7681 4,398726 4,398726
5 6 142,443 105,9454 105,8901
5 7 231,6031 15,25512 16,55707
5 8 294,9648 90,45074 65,97449
5 9 76,94154 154,5923 150,8025
5 10 178,8854 26,56505 26,56505
5 11 29,52965 -64,65382 -60,25512
5 12 211,2439 16,51417 18,94651
5 13 110 90,48146 89,48384
5 14 110,218 80,53768 78,48617
6 0 179,8055 -96,41084 -95,36563
6 1 235,9568 12,75479 4,449594
6 2 52,34501 135 133,4926
6 3 228,4426 31,2184 31,13453
6 4 323,6863 -16,36898 -21,8694
6 5 145,6022 -74,0546 -74,0546
6 7 268,868 -16,69924 -17,49355
6 8 211,1918 41,1604 41,18592
6 9 107,5639 -111,8014 -106,7503
6 10 201,7622 -16,35868 -18,25478
6 11 191,6507 -71,56505 -70,80872
6 12 239,7415 -18,14557 -19,78108
6 13 29,52965 -25,34617 -29,74488
6 14 58,30952 -18,43495 -22,16635
7 0 289,1159 -160,2157 -160,3197
7 1 100,8067 100,8641 101,3099
7 2 314,3915 158,5286 157,4221
7 3 208,9265 165,8065 105,818
7 4 52,34501 -45 -43,49257
7 5 215,244 -164,4354 -164,4191
7 6 266,9082 162,8973 162,1081
7 8 239,5204 114,6417 113,6973
7 9 294,5592 -163,8655 -176,5329
7 10 58,30952 161,565 157,8336
7 11 211,5892 -153,0905 -152,468
7 12 15,0333 180 176,6336
7 13 222,8004 164,7449 163,8427
7 14 207,562 163,4858 163,3008
8 0 358,8342 -119,3578 -119,9231
8 1 142,8356 -56,42118 -56,30993
8 2 223,6068 -153,435 -153,435
8 3 39,82462 -27,75854 -27,18111
8 4 290,6166 -61,43606 -60,79241
8 5 305,1804 -105,0091 -113,2714
8 6 202,3561 -138,8141 -137,0025
8 7 229,8695 -65,35834 -63,87738
8 9 300,4663 -130,0415 -130,9717
8 10 191,8802 -78,35825 -77,40667
8 11 326,3771 -107,354 -107,6577
8 12 231,534 -70,31288 -70,01689
8 13 186,4725 -126,7537 -128,5653
8 14 182,5377 -122,0054 -122,4712
9 0 72,12489 -75,61861 -73,52312
9 1 303,3183 23,69422 22,60538
9 2 133,0038 90,41219 89,14491
9 3 318,8134 42,74936 41,20275
9 4 340,5877 -3,366506 -3,366506
9 5 89,05054 -26,56505 -24,55045
9 6 104 68,49857 67,08717
9 7 301,4797 3,814081 3,232527
9 8 309,3478 86,05635 49,70292
9 10 246,3331 9,46232 10,76254
9 11 124,4026 -39,22567 -35,96052
9 12 279,6462 3,895863 4,085619
9 13 111,7318 45,72522 45
9 14 125,6025 38,58916 37,32103
10 0 245,9675 -151,169 -153,6418
10 1 84,97058 63,43495 63,43494
10 2 257,5104 89,61857 159,5594
10 3 179,0251 90 90,96017
10 4 113,5341 -30,96376 -31,30995
10 5 180,6765 -153,0042 -154,1423
10 6 208,8061 163,3008 163,3008
10 7 58,85575 -18,43495 -9,782392
10 8 198,4943 101,4212 102,0948
10 9 246,1097 -170,5377 -170,8821
10 11 185,914 -138,9603 -140,2339
10 12 29,52965 -25,34617 -29,74488
10 13 162,7882 165,7932 169,5085
10 14 146,7583 164,0546 167,0054
11 0 75,00667 180 179,2559
11 1 262,3776 47,72631 49,61065
11 2 240,5535 114,7585 112,9489
11 3 330,7114 64,9831 65,52737
11 4 243,5109 -7,093069 14,4618
11 5 29,52965 115,3462 119,7449
11 6 189,1084 108,8182 108,435
11 7 222,7196 26,10486 26,56505
11 8 333,5206 72,54344 73,72613
11 9 120,5073 142,0458 138,3274
11 10 181,237 -6,474235 42,40348
11 12 195,1666 28,94578 31,26373
11 13 161,2514 97,52382 92,82713
11 14 161,1521 90,36034 92,1211
12 0 274,1194 -143,7328 -159,2234
12 1 90 90,57873 89,37041
12 2 301,7714 157,1481 157,249
12 3 191,802 101,3099 101,4271
12 4 67,95587 -32,34745 -34,38034
12 5 208,0865 -162,958 -162,4331
12 6 247,9879 161,709 162,7282
12 7 15,0333 0 3,366448
12 8 220,2727 101,1457 110,548
12 9 278,5821 -175,9144 -176,2953
12 10 31,62278 154,6538 159,444
12 11 206,156 144,2108 -150,1013
12 13 208,8096 161,1617 163,3626
12 14 184,8892 161,7573 164,0969
13 0 169,0089 -110,7941 -110,556
13 1 201,2213 11,30995 11,75666
13 2 98,81296 144,0579 143,1301
13 3 206,5962 41,18592 43,03858
13 4 275,4088 -21,03752 -21,06738
13 5 118 -90 -90
13 6 29,52965 154,6538 150,2551
13 7 224,878 -16,96478 -15,19972
13 8 197,4082 52,78356 53,99379
13 9 101,9804 -135,7252 -131,0818
13 10 155,9585 -7,210609 -14,52498
13 11 157,2578 -82,47618 -87,10143
13 12 201,2528 -16,05686 -16,75199
13 14 15,0333 0 3,366448
14 0 177,0988 -116,8544 -116,565
14 1 183,9674 11,92074 12,52879
14 2 113,5341 149,8863 147,8356
14 3 191,202 23,45305 48,27657
14 4 256,8464 -20,35251 -22,66574
14 5 120,2082 -99,46233 -98,1301
14 6 58,30952 161,565 157,8336
14 7 208,8084 -18,24894 -16,65341
14 8 185,5694 57,66982 59,87568
14 9 120,8808 -156,3333 -140,3269
14 10 141,2091 -15,67282 -15,89016
14 11 160 -90 -90
14 12 187,2111 -18,04782 -18,43496
14 13 15,0333 180 176,6336
